timestamp,open,high,low,close,volume
1640908800,1073.67,1118.9999,1053.15,1056.78,91687786
1640217600,910.7,1072.9767,886.12,1067,104781767
1639699200,1001.09,1005,909.0401,932.57,136074239
1639094400,1001.51,1072.38,950.5,1017.03,99585638
1638489600,1100.99,1172.8399,1000.21,1014.97,124636821
1637884800,1162.33,1201.95,1062,1081.92,103485337
1637280000,1017.63,1138.7199,978.6,1137.06,135304561
1636675200,1149.785,1197,987.31,1033.42,182318404
1636070400,1145,1243.49,1118.66,1222.09,178974628
1635465600,950.53,1115.21,944.2,1114,220925116
1634860800,851.79,910,851.47,909.68,109982713
1634256000,787.65,843.21,785.5,843.03,81512174
1633651200,796.5,806.9699,773.22,785.49,99483120
1633046400,773.12,799,763.59,775.22,109382331
1632441600,734.5577,774.8,718.6249,774.39,89535196
1631836800,740.2143,761.04,708.85,759.49,98962617
1631232000,740,764.45,734.5201,736.27,68094762
1630627200,714.715,741.99,712.73,733.57,80731775
1630022400,685.442,716.97,680.7505,711.92,73041547
1629417600,705.07,709.5,648.84,680.26,96329308
1628812800,710.17,729.9,699.4,717.17,72301742
1628208000,700,726.94,697.63,699.1,100781351
1627603200,650.97,697.53,627.24,687.2,133501299
1626998400,629.89,664.8599,621.29,643.38,80448226
1626393600,662.2,693.28,637.88,644.22,105114865
1625788800,681.7115,684,620.46,656.95,82990274
1625184000,671.64,700,670.32,678.9,103666230
1624579200,624.48,697.62,608.88,671.87,153549954
1623974400,612.23,628.35,593.5,623.31,107296122
1623369600,591.825,623.09,582.88,609.89,105306562
1622764800,627.8,633.8,571.22,599.05,95536458
1622160000,581.6,635.59,573.65,625.22,140310958
1621555200,575.5531,596.68,546.98,580.88,165651036
1620950400,664.9,665.05,559.65,589.74,189275731
1620345600,703.8,706,650,672.37,129938147
1619740800,741,749.3,666.14,709.44,152350715
1619136000,719.6,753.77,691.8001,729.4,170514922
1618531200,685.7,780.79,682.09,739.78,178634338
1617926400,707.71,708.16,667.84,677.02,141785455
1617235200,615.64,692.4203,591.01,661.75,136705010
1616716800,684.59,699.62,599.89,618.71,176876942
1616112000,694.09,713.18,624.6201,654.87,178254604
1615507200,600.55,717.85,558.79,693.73,249753690
1614902400,690.11,721.11,539.49,597.95,235272714
1614297600,762.64,768.5,619,675.5,217862425
1613692800,818,821,762.01,781.3,82596163
1613088000,869.67,877.77,785.3306,816.12,116303534
1612483200,814.29,880.5,795.5601,852.23,102112291