date,open,high,low,close,volume
31/12/2021,1073.67,1118.9999,1053.15,1056.78,91687786
23/12/2021,910.7,1072.9767,886.12,1067,104781767
17/12/2021,1001.09,1005,909.0401,932.57,136074239
10/12/2021,1001.51,1072.38,950.5,1017.03,99585638
03/12/2021,1100.99,1172.8399,1000.21,1014.97,124636821
26/11/2021,1162.33,1201.95,1062,1081.92,103485337
19/11/2021,1017.63,1138.7199,978.6,1137.06,135304561
12/11/2021,1149.785,1197,987.31,1033.42,182318404
05/11/2021,1145,1243.49,1118.66,1222.09,178974628
29/10/2021,950.53,1115.21,944.2,1114,220925116
22/10/2021,851.79,910,851.47,909.68,109982713
15/10/2021,787.65,843.21,785.5,843.03,81512174
08/10/2021,796.5,806.9699,773.22,785.49,99483120
01/10/2021,773.12,799,763.59,775.22,109382331
24/09/2021,734.5577,774.8,718.6249,774.39,89535196
17/09/2021,740.2143,761.04,708.85,759.49,98962617
10/09/2021,740,764.45,734.5201,736.27,68094762
03/09/2021,714.715,741.99,712.73,733.57,80731775
27/08/2021,685.442,716.97,680.7505,711.92,73041547
20/08/2021,705.07,709.5,648.84,680.26,96329308
13/08/2021,710.17,729.9,699.4,717.17,72301742
06/08/2021,700,726.94,697.63,699.1,100781351
30/07/2021,650.97,697.53,627.24,687.2,133501299
23/07/2021,629.89,664.8599,621.29,643.38,80448226
16/07/2021,662.2,693.28,637.88,644.22,105114865
09/07/2021,681.7115,684,620.46,656.95,82990274
02/07/2021,671.64,700,670.32,678.9,103666230
25/06/2021,624.48,697.62,608.88,671.87,153549954
18/06/2021,612.23,628.35,593.5,623.31,107296122
11/06/2021,591.825,623.09,582.88,609.89,105306562
04/06/2021,627.8,633.8,571.22,599.05,95536458
28/05/2021,581.6,635.59,573.65,625.22,140310958
21/05/2021,575.5531,596.68,546.98,580.88,165651036
14/05/2021,664.9,665.05,559.65,589.74,189275731
07/05/2021,703.8,706,650,672.37,129938147
30/04/2021,741,749.3,666.14,709.44,152350715
23/04/2021,719.6,753.77,691.8001,729.4,170514922
16/04/2021,685.7,780.79,682.09,739.78,178634338
09/04/2021,707.71,708.16,667.84,677.02,141785455
01/04/2021,615.64,692.4203,591.01,661.75,136705010
26/03/2021,684.59,699.62,599.89,618.71,176876942
19/03/2021,694.09,713.18,624.6201,654.87,178254604
12/03/2021,600.55,717.85,558.79,693.73,249753690
05/03/2021,690.11,721.11,539.49,597.95,235272714
26/02/2021,762.64,768.5,619,675.5,217862425
19/02/2021,818,821,762.01,781.3,82596163
12/02/2021,869.67,877.77,785.3306,816.12,116303534
05/02/2021,814.29,880.5,795.5601,852.23,102112291